filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
002_Blocher2020_bar_benthic_S2_1.png,abundance,S0_V0,725,167.7050983,5,NA,75,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S0_V1,873.4967603,140.2975696,5,NA,62.74298056,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S0_V2,1034.835853,90.19129477,5,NA,40.33477322,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S1_V0,1057.24406,120.2550597,5,NA,53.77969762,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S1_V1,1344.069114,360.7651791,5,NA,161.3390929,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S1_V2,1393.367171,410.871454,5,NA,183.7473002,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S2_V0,1500.926566,300.6376492,5,NA,134.4492441,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S2_V1,1505.408207,140.2975696,5,NA,62.74298056,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S2_V2,1451.62851,190.4038445,5,NA,85.1511879,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S3_V0,1030.354212,180.3825895,5,NA,80.66954644,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S3_V1,1523.334773,310.6589042,5,NA,138.9308855,se,mean_error
002_Blocher2020_bar_benthic_S2_1.png,abundance,S3_V2,1716.045356,120.2550597,5,NA,53.77969762,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S0_V0,243.8297872,22.83643892,5,NA,10.21276596,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S0_V1,329.3617021,42.81832297,5,NA,19.14893617,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S0_V2,435.3191489,85.63664595,5,NA,38.29787234,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S1_V0,213.1914894,11.41821946,5,NA,5.106382979,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S1_V1,334.4680851,42.81832297,5,NA,19.14893617,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S1_V2,425.106383,71.36387162,5,NA,31.91489362,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S2_V0,176.1702128,48.5274327,5,NA,21.70212766,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S2_V1,245.106383,31.40010351,5,NA,14.04255319,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S2_V2,344.6808511,54.23654243,5,NA,24.25531915,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S3_V0,237.4468085,65.65476189,5,NA,29.36170213,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S3_V1,240,48.5274327,5,NA,21.70212766,se,mean_error
002_Blocher2020_bar_benthic_S2_2.png,abundance,S3_V2,394.4680851,51.38198757,5,NA,22.9787234,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S0_V0,225.862069,53.97405463,5,NA,24.13793103,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S0_V1,262.0689655,63.61227867,5,NA,28.44827586,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S0_V2,293.1034483,80.96108194,5,NA,36.20689655,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S1_V0,126.7241379,13.49351366,5,NA,6.034482759,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S1_V1,112.0689655,42.40818578,5,NA,18.96551724,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S1_V2,175,48.1911202,5,NA,21.55172414,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S2_V0,134.4827586,48.1911202,5,NA,21.55172414,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S2_V1,61.20689655,15.42115847,5,NA,6.896551724,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S2_V2,154.3103448,34.69760655,5,NA,15.51724138,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S3_V0,187.0689655,32.76996174,5,NA,14.65517241,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S3_V1,46.55172414,34.69760655,5,NA,15.51724138,se,mean_error
002_Blocher2020_bar_benthic_S2_3.png,abundance,S3_V2,146.5517241,48.1911202,5,NA,21.55172414,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S0_V0,41.29337539,23.20714084,5,NA,10.3785489,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S0_V1,47.69716088,18.76322025,5,NA,8.391167192,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S0_V2,63.37539432,6.912765356,5,NA,3.09148265,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S1_V0,28.04416404,9.381610126,5,NA,4.195583596,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S1_V1,33.34384858,15.80060653,5,NA,7.066246057,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S1_V2,20.75709779,8.887841172,5,NA,3.974763407,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S2_V0,18.32807571,6.418996402,5,NA,2.870662461,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S2_V1,15.23659306,3.950151632,5,NA,1.766561514,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S2_V2,14.3533123,7.900303264,5,NA,3.533123028,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S3_V0,24.7318612,16.78814444,5,NA,7.507886435,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S3_V1,15.01577287,18.76322025,5,NA,8.391167192,se,mean_error
002_Blocher2020_bar_benthic_S2_4.png,abundance,S3_V2,12.14511041,0,5,NA,0,se,mean_error
002_Blocher2020_bar_benthic_S2_5.png,abundance,S0_V0,114.0897756,61.33852307,5,NA,27.43142145,se,mean_error
